opportunity_id,vertical,use_case_id,technology_id,evidence_count,independent_source_count,independent_event_count,average_source_quality,capability_groups,signal_component,independence_component,quality_component,momentum_component,attractiveness_score,orange_fit_score,confidence_score,urgency_score,priority_score,publication_status
Natural Resources | predictive-maintenance | iot-platforms,Natural Resources,predictive-maintenance,iot-platforms,1,1,1,0.9,business_trigger; connectivity; data_ai; industrial_operations,30.0,8.3,22.5,4.0,64.8,100.0,48.5,100.0,78.2,WATCHLIST
Healthcare | anomaly-detection | cybersecurity-platform,Healthcare,anomaly-detection,cybersecurity-platform,1,1,1,0.9,cybersecurity,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Healthcare | asset-tracking | industrial-robotics,Healthcare,asset-tracking,industrial-robotics,1,1,1,0.9,industrial_operations,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Healthcare | asset-tracking | iot-platforms,Healthcare,asset-tracking,iot-platforms,1,1,1,0.9,connectivity,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Lifesciences | environmental-emissions-monitoring | iot-platforms,Lifesciences,environmental-emissions-monitoring,iot-platforms,1,1,1,0.9,connectivity,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Aerospace | automated-inspection-defect-detection | iot-platforms,Aerospace,automated-inspection-defect-detection,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Automotive | environmental-emissions-monitoring | machine-learning,Automotive,environmental-emissions-monitoring,machine-learning,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Defense | fraud-detection | computer-vision,Defense,fraud-detection,computer-vision,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | anomaly-detection | iot-platforms","Finance, Banking, Insurance",anomaly-detection,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | precision-agriculture | cloud-data-platform","Finance, Banking, Insurance",precision-agriculture,cloud-data-platform,1,1,1,0.8,cloud_edge,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | asset-tracking | digital-twin","Finance, Banking, Insurance",asset-tracking,digital-twin,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | asset-tracking | iot-platforms","Finance, Banking, Insurance",asset-tracking,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | kyc-aml-automation | computer-vision","Finance, Banking, Insurance",kyc-aml-automation,computer-vision,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Healthcare | environmental-emissions-monitoring | machine-learning,Healthcare,environmental-emissions-monitoring,machine-learning,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Healthcare | personalized-recommendations | machine-learning,Healthcare,personalized-recommendations,machine-learning,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Healthcare | sentiment-analysis | natural-language-processing,Healthcare,sentiment-analysis,natural-language-processing,1,1,1,0.8,cloud_edge,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Healthcare | diagnostic-support | iot-platforms,Healthcare,diagnostic-support,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Manufacturing | automated-inspection-defect-detection | computer-vision,Manufacturing,automated-inspection-defect-detection,computer-vision,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Media & Entertainment | energy-optimization | connectivity-5g,Media & Entertainment,energy-optimization,connectivity-5g,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Natural Resources | environmental-emissions-monitoring | machine-learning,Natural Resources,environmental-emissions-monitoring,machine-learning,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Natural Resources | automated-inspection-defect-detection | computer-vision,Natural Resources,automated-inspection-defect-detection,computer-vision,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Public/Gov sector | automated-inspection-defect-detection | computer-vision,Public/Gov sector,automated-inspection-defect-detection,computer-vision,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Transportation & Construction | anomaly-detection | iot-platforms,Transportation & Construction,anomaly-detection,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Transportation & Construction | automated-inspection-defect-detection | industrial-robotics,Transportation & Construction,automated-inspection-defect-detection,industrial-robotics,1,1,1,0.8,industrial_operations,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Wholesale | environmental-emissions-monitoring | iot-platforms,Wholesale,environmental-emissions-monitoring,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Wholesale | asset-tracking | cloud-data-platform,Wholesale,asset-tracking,cloud-data-platform,1,1,1,0.8,cloud_edge,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | business-forecasting | machine-learning","Finance, Banking, Insurance",business-forecasting,machine-learning,1,1,1,0.55,data_ai,7.5,8.3,13.8,4.0,33.6,25.0,36.2,0.0,27.6,WATCHLIST
Public/Gov sector | document-processing-extraction | machine-learning,Public/Gov sector,document-processing-extraction,machine-learning,1,1,1,0.55,data_ai,7.5,8.3,13.8,4.0,33.6,25.0,36.2,0.0,27.6,WATCHLIST
Aerospace | asset-tracking | computer-vision,Aerospace,asset-tracking,computer-vision,1,1,1,0.45,connectivity,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Automotive | fraud-detection | machine-learning,Automotive,fraud-detection,machine-learning,1,1,1,0.45,data_ai,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
"Finance, Banking, Insurance | fraud-detection | machine-learning","Finance, Banking, Insurance",fraud-detection,machine-learning,1,1,1,0.45,data_ai,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
"Finance, Banking, Insurance | risk-scoring | cybersecurity-platform","Finance, Banking, Insurance",risk-scoring,cybersecurity-platform,1,1,1,0.45,cybersecurity,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Healthcare | network-optimization | iot-platforms,Healthcare,network-optimization,iot-platforms,1,1,1,0.45,connectivity,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Healthcare | automated-inspection-defect-detection | machine-learning,Healthcare,automated-inspection-defect-detection,machine-learning,1,1,1,0.45,data_ai,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Lifesciences | diagnostic-support | cloud-data-platform,Lifesciences,diagnostic-support,cloud-data-platform,1,1,1,0.45,cloud_edge,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Media & Entertainment | personalized-recommendations | connectivity-5g,Media & Entertainment,personalized-recommendations,connectivity-5g,1,1,1,0.45,connectivity,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Media & Entertainment | sentiment-analysis | natural-language-processing,Media & Entertainment,sentiment-analysis,natural-language-processing,1,1,1,0.45,connectivity,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Public/Gov sector | kyc-aml-automation | computer-vision,Public/Gov sector,kyc-aml-automation,computer-vision,1,1,1,0.45,data_ai,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Transportation & Construction | asset-tracking | machine-learning,Transportation & Construction,asset-tracking,machine-learning,1,1,1,0.45,data_ai,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Transportation & Construction | route-optimization | cloud-data-platform,Transportation & Construction,route-optimization,cloud-data-platform,1,1,1,0.45,cloud_edge,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Wholesale | inventory-optimization | machine-learning,Wholesale,inventory-optimization,machine-learning,1,1,1,0.45,industrial_operations,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
