opportunity_id,vertical,use_case_id,technology_id,evidence_count,independent_source_count,independent_event_count,average_source_quality,capability_groups,signal_component,independence_component,quality_component,momentum_component,attractiveness_score,orange_fit_score,confidence_score,urgency_score,priority_score,publication_status
Public/Gov sector | compliance-monitoring | cybersecurity-platform,Public/Gov sector,compliance-monitoring,cybersecurity-platform,7,5,7,0.693,business_trigger; cloud_edge; connectivity; cybersecurity,13.9,25.0,17.3,20.0,76.2,100.0,89.2,28.6,81.7,RADAR
Aerospace | predictive-maintenance | autonomous-vehicles-drones,Aerospace,predictive-maintenance,autonomous-vehicles-drones,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Aerospace | asset-tracking | blockchain-distributed-ledger,Aerospace,asset-tracking,blockchain-distributed-ledger,1,1,1,0.8,cloud_edge; connectivity,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Automotive | energy-optimization | machine-learning,Automotive,energy-optimization,machine-learning,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Automotive | anomaly-detection | computer-vision,Automotive,anomaly-detection,computer-vision,1,1,1,0.8,connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Automotive | network-optimization | digital-twin,Automotive,network-optimization,digital-twin,1,1,1,0.8,connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Automotive | predictive-maintenance | industrial-robotics,Automotive,predictive-maintenance,industrial-robotics,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Defense | route-optimization | machine-learning,Defense,route-optimization,machine-learning,1,1,1,0.8,connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Defense | compliance-monitoring | cloud-data-platform,Defense,compliance-monitoring,cloud-data-platform,1,1,1,0.8,business_trigger; cloud_edge,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Defense | compliance-monitoring | machine-learning,Defense,compliance-monitoring,machine-learning,1,1,1,0.8,business_trigger; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Defense | network-optimization | cybersecurity-platform,Defense,network-optimization,cybersecurity-platform,1,1,1,0.8,connectivity; cybersecurity,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
"Finance, Banking, Insurance | kyc-aml-automation | cloud-data-platform","Finance, Banking, Insurance",kyc-aml-automation,cloud-data-platform,1,1,1,0.8,cloud_edge; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
"Finance, Banking, Insurance | energy-optimization | iot-platforms","Finance, Banking, Insurance",energy-optimization,iot-platforms,1,1,1,0.8,connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Lifesciences | inventory-optimization | digital-twin,Lifesciences,inventory-optimization,digital-twin,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Lifesciences | precision-agriculture | machine-learning,Lifesciences,precision-agriculture,machine-learning,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Manufacturing | environmental-emissions-monitoring | cloud-data-platform,Manufacturing,environmental-emissions-monitoring,cloud-data-platform,1,1,1,0.8,cloud_edge; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Manufacturing | energy-optimization | machine-learning,Manufacturing,energy-optimization,machine-learning,1,1,1,0.8,cybersecurity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Media & Entertainment | predictive-maintenance | digital-twin,Media & Entertainment,predictive-maintenance,digital-twin,1,1,1,0.8,data_ai; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Natural Resources | compliance-monitoring | iot-platforms,Natural Resources,compliance-monitoring,iot-platforms,1,1,1,0.8,business_trigger; connectivity,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Public/Gov sector | anomaly-detection | computer-vision,Public/Gov sector,anomaly-detection,computer-vision,1,1,1,0.8,connectivity; cybersecurity,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Retail | energy-optimization | blockchain-distributed-ledger,Retail,energy-optimization,blockchain-distributed-ledger,1,1,1,0.8,business_trigger; cloud_edge,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Retail | automated-inspection-defect-detection | iot-platforms,Retail,automated-inspection-defect-detection,iot-platforms,1,1,1,0.8,connectivity; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Wholesale | route-optimization | digital-twin,Wholesale,route-optimization,digital-twin,1,1,1,0.8,connectivity; data_ai,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Wholesale | energy-optimization | iot-platforms,Wholesale,energy-optimization,iot-platforms,1,1,1,0.8,connectivity; industrial_operations,7.5,8.3,20.0,4.0,39.8,50.0,45.0,0.0,40.2,WATCHLIST
Automotive | asset-tracking | cloud-data-platform,Automotive,asset-tracking,cloud-data-platform,1,1,1,0.55,cloud_edge; data_ai,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
"Finance, Banking, Insurance | personalized-recommendations | machine-learning","Finance, Banking, Insurance",personalized-recommendations,machine-learning,1,1,1,0.55,cybersecurity; data_ai,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Manufacturing | production-scheduling | iot-platforms,Manufacturing,production-scheduling,iot-platforms,1,1,1,0.55,connectivity; industrial_operations,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Manufacturing | predictive-maintenance | machine-learning,Manufacturing,predictive-maintenance,machine-learning,1,1,1,0.55,data_ai; industrial_operations,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Public/Gov sector | document-processing-extraction | cloud-data-platform,Public/Gov sector,document-processing-extraction,cloud-data-platform,1,1,1,0.55,cloud_edge; cybersecurity,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Public/Gov sector | anomaly-detection | machine-learning,Public/Gov sector,anomaly-detection,machine-learning,1,1,1,0.55,cybersecurity; data_ai,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Retail | warehouse-automation | warehouse-automation-systems,Retail,warehouse-automation,warehouse-automation-systems,1,1,1,0.55,data_ai; industrial_operations,7.5,8.3,13.8,4.0,33.6,50.0,36.2,0.0,36.4,WATCHLIST
Aerospace | asset-tracking | industrial-robotics,Aerospace,asset-tracking,industrial-robotics,1,1,1,0.45,connectivity; industrial_operations,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Aerospace | anomaly-detection | cybersecurity-platform,Aerospace,anomaly-detection,cybersecurity-platform,1,1,1,0.45,cloud_edge; cybersecurity,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Automotive | compliance-monitoring | computer-vision,Automotive,compliance-monitoring,computer-vision,1,1,1,0.45,business_trigger; data_ai,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Defense | energy-optimization | digital-twin,Defense,energy-optimization,digital-twin,1,1,1,0.45,cybersecurity; data_ai,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
"Finance, Banking, Insurance | kyc-aml-automation | blockchain-distributed-ledger","Finance, Banking, Insurance",kyc-aml-automation,blockchain-distributed-ledger,1,1,1,0.45,cloud_edge; data_ai,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Lifesciences | compliance-monitoring | iot-platforms,Lifesciences,compliance-monitoring,iot-platforms,1,1,1,0.45,business_trigger; connectivity,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Wholesale | anomaly-detection | cybersecurity-platform,Wholesale,anomaly-detection,cybersecurity-platform,1,1,1,0.45,connectivity; cybersecurity,7.5,8.3,11.2,4.0,31.1,50.0,32.8,0.0,34.8,WATCHLIST
Energy | route-optimization | machine-learning,Energy,route-optimization,machine-learning,1,1,1,0.8,data_ai,15.0,8.3,20.0,4.0,47.3,25.0,45.0,0.0,34.4,WATCHLIST
Natural Resources | environmental-emissions-monitoring | cloud-data-platform,Natural Resources,environmental-emissions-monitoring,cloud-data-platform,1,1,1,0.8,cloud_edge,15.0,8.3,20.0,4.0,47.3,25.0,45.0,0.0,34.4,WATCHLIST
Public/Gov sector | anomaly-detection | iot-platforms,Public/Gov sector,anomaly-detection,iot-platforms,1,1,1,0.8,connectivity,15.0,8.3,20.0,4.0,47.3,25.0,45.0,0.0,34.4,WATCHLIST
Retail | energy-optimization | cloud-data-platform,Retail,energy-optimization,cloud-data-platform,1,1,1,0.8,cloud_edge,15.0,8.3,20.0,4.0,47.3,25.0,45.0,0.0,34.4,WATCHLIST
Media & Entertainment | automated-inspection-defect-detection | computer-vision,Media & Entertainment,automated-inspection-defect-detection,computer-vision,2,1,2,0.8,data_ai,7.5,8.3,20.0,8.0,43.8,25.0,52.0,0.0,34.1,WATCHLIST
Transportation & Construction | environmental-emissions-monitoring | digital-twin,Transportation & Construction,environmental-emissions-monitoring,digital-twin,2,1,2,0.8,data_ai,7.5,8.3,20.0,8.0,43.8,25.0,52.0,0.0,34.1,WATCHLIST
Aerospace | diagnostic-support | computer-vision,Aerospace,diagnostic-support,computer-vision,1,1,1,0.9,data_ai,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Defense | anomaly-detection | computer-vision,Defense,anomaly-detection,computer-vision,1,1,1,0.9,data_ai,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Healthcare | anomaly-detection | cybersecurity-platform,Healthcare,anomaly-detection,cybersecurity-platform,1,1,1,0.9,cybersecurity,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Healthcare | asset-tracking | industrial-robotics,Healthcare,asset-tracking,industrial-robotics,1,1,1,0.9,industrial_operations,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Healthcare | asset-tracking | iot-platforms,Healthcare,asset-tracking,iot-platforms,1,1,1,0.9,connectivity,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Lifesciences | environmental-emissions-monitoring | iot-platforms,Lifesciences,environmental-emissions-monitoring,iot-platforms,1,1,1,0.9,connectivity,7.5,8.3,22.5,4.0,42.3,25.0,48.5,0.0,33.0,WATCHLIST
Aerospace | automated-inspection-defect-detection | iot-platforms,Aerospace,automated-inspection-defect-detection,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Automotive | environmental-emissions-monitoring | machine-learning,Automotive,environmental-emissions-monitoring,machine-learning,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Defense | fraud-detection | computer-vision,Defense,fraud-detection,computer-vision,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | anomaly-detection | iot-platforms","Finance, Banking, Insurance",anomaly-detection,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | precision-agriculture | cloud-data-platform","Finance, Banking, Insurance",precision-agriculture,cloud-data-platform,1,1,1,0.8,cloud_edge,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | asset-tracking | digital-twin","Finance, Banking, Insurance",asset-tracking,digital-twin,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | asset-tracking | iot-platforms","Finance, Banking, Insurance",asset-tracking,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | kyc-aml-automation | computer-vision","Finance, Banking, Insurance",kyc-aml-automation,computer-vision,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Healthcare | environmental-emissions-monitoring | machine-learning,Healthcare,environmental-emissions-monitoring,machine-learning,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Healthcare | personalized-recommendations | machine-learning,Healthcare,personalized-recommendations,machine-learning,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Healthcare | sentiment-analysis | natural-language-processing,Healthcare,sentiment-analysis,natural-language-processing,1,1,1,0.8,cloud_edge,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Healthcare | diagnostic-support | iot-platforms,Healthcare,diagnostic-support,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Manufacturing | automated-inspection-defect-detection | computer-vision,Manufacturing,automated-inspection-defect-detection,computer-vision,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Media & Entertainment | energy-optimization | connectivity-5g,Media & Entertainment,energy-optimization,connectivity-5g,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Natural Resources | environmental-emissions-monitoring | machine-learning,Natural Resources,environmental-emissions-monitoring,machine-learning,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Natural Resources | automated-inspection-defect-detection | computer-vision,Natural Resources,automated-inspection-defect-detection,computer-vision,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Public/Gov sector | automated-inspection-defect-detection | computer-vision,Public/Gov sector,automated-inspection-defect-detection,computer-vision,1,1,1,0.8,data_ai,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Transportation & Construction | anomaly-detection | iot-platforms,Transportation & Construction,anomaly-detection,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Transportation & Construction | automated-inspection-defect-detection | industrial-robotics,Transportation & Construction,automated-inspection-defect-detection,industrial-robotics,1,1,1,0.8,industrial_operations,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Wholesale | environmental-emissions-monitoring | iot-platforms,Wholesale,environmental-emissions-monitoring,iot-platforms,1,1,1,0.8,connectivity,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
Wholesale | asset-tracking | cloud-data-platform,Wholesale,asset-tracking,cloud-data-platform,1,1,1,0.8,cloud_edge,7.5,8.3,20.0,4.0,39.8,25.0,45.0,0.0,31.4,WATCHLIST
"Finance, Banking, Insurance | business-forecasting | machine-learning","Finance, Banking, Insurance",business-forecasting,machine-learning,1,1,1,0.55,data_ai,7.5,8.3,13.8,4.0,33.6,25.0,36.2,0.0,27.6,WATCHLIST
Public/Gov sector | document-processing-extraction | machine-learning,Public/Gov sector,document-processing-extraction,machine-learning,1,1,1,0.55,data_ai,7.5,8.3,13.8,4.0,33.6,25.0,36.2,0.0,27.6,WATCHLIST
Aerospace | asset-tracking | computer-vision,Aerospace,asset-tracking,computer-vision,1,1,1,0.45,connectivity,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Automotive | fraud-detection | machine-learning,Automotive,fraud-detection,machine-learning,1,1,1,0.45,data_ai,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
"Finance, Banking, Insurance | fraud-detection | machine-learning","Finance, Banking, Insurance",fraud-detection,machine-learning,1,1,1,0.45,data_ai,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
"Finance, Banking, Insurance | risk-scoring | cybersecurity-platform","Finance, Banking, Insurance",risk-scoring,cybersecurity-platform,1,1,1,0.45,cybersecurity,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Healthcare | network-optimization | iot-platforms,Healthcare,network-optimization,iot-platforms,1,1,1,0.45,connectivity,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Healthcare | automated-inspection-defect-detection | machine-learning,Healthcare,automated-inspection-defect-detection,machine-learning,1,1,1,0.45,data_ai,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Lifesciences | diagnostic-support | cloud-data-platform,Lifesciences,diagnostic-support,cloud-data-platform,1,1,1,0.45,cloud_edge,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Media & Entertainment | personalized-recommendations | connectivity-5g,Media & Entertainment,personalized-recommendations,connectivity-5g,1,1,1,0.45,connectivity,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Media & Entertainment | sentiment-analysis | natural-language-processing,Media & Entertainment,sentiment-analysis,natural-language-processing,1,1,1,0.45,connectivity,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Public/Gov sector | kyc-aml-automation | computer-vision,Public/Gov sector,kyc-aml-automation,computer-vision,1,1,1,0.45,data_ai,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Transportation & Construction | asset-tracking | machine-learning,Transportation & Construction,asset-tracking,machine-learning,1,1,1,0.45,data_ai,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Transportation & Construction | route-optimization | cloud-data-platform,Transportation & Construction,route-optimization,cloud-data-platform,1,1,1,0.45,cloud_edge,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
Wholesale | inventory-optimization | machine-learning,Wholesale,inventory-optimization,machine-learning,1,1,1,0.45,industrial_operations,7.5,8.3,11.2,4.0,31.1,25.0,32.8,0.0,26.1,WATCHLIST
